#title,XPS_PHI_QUANTERA_narrow
#dimension,x,y
#x,Binding Energy,eV,reverse
#y,Intensity,cps
#legend,Cu2p,Cu_LMM,O1s,C1s
##acq_date,20170606
##comment,SPECTRUM

967.9000,53298.7266,613.9000,39030.8398,536.9000,10240.8525,291.9000,10846.6934
967.8000,52403.4180,613.8000,38899.0938,536.8000,10212.0908,291.8000,10498.7754
967.7000,52899.7813,613.7000,39150.5234,536.7000,10214.8740,291.7000,10701.0313
967.6000,53006.4766,613.6000,39020.6328,536.6000,10277.9629,291.6000,10534.9590
967.5000,53008.7969,613.5000,38766.4219,536.5000,10375.3809,291.5000,10516.4033
967.4000,53748.6992,613.4000,39088.3633,536.4000,10284.4580,291.4000,10730.7207
967.3000,53101.5742,613.3000,39164.4414,536.3000,10274.2520,291.3000,10602.6865
967.2000,53354.3945,613.2000,39433.4961,536.2000,10218.5850,291.2000,10721.4434
967.1000,53368.3125,613.1000,38690.3438,536.1000,10288.1689,291.1000,10757.6260
967.0000,53377.5898,613.0000,38712.6094,536.0000,10179.6182,291.0000,10783.6045
966.9000,52922.9766,612.9000,39017.8516,535.9000,10213.0186,290.9000,10609.1816
966.8000,52442.8477,612.8000,39167.2227,535.8000,10163.8467,290.8000,10633.3037
966.7000,53718.5469,612.7000,39125.4727,535.7000,10166.6299,290.7000,10791.9541
966.6000,53059.8242,612.6000,38831.3672,535.6000,10262.1914,290.6000,10731.6484
966.5000,53558.5078,612.5000,39236.8086,535.5000,10421.7695,290.5000,10743.7100
966.4000,53558.5078,612.4000,39328.6563,535.4000,10228.7910,290.4000,10841.1270
966.3000,53175.7969,612.3000,39075.3711,535.3000,10366.1025,290.3000,10904.2158
966.2000,53697.6719,612.2000,39335.1523,535.2000,10289.0967,290.2000,10717.7314
966.1000,53182.7539,612.1000,39332.3672,535.1000,10253.8408,290.1000,10782.6768
966.0000,54163.8828,612.0000,39491.9453,535.0000,10229.7188,290.0000,10708.4541
965.9000,53727.8242,611.9000,39403.8086,534.9000,10251.0576,289.9000,10958.9551
965.8000,53628.0898,611.8000,39349.9961,534.8000,10234.3574,289.8000,10692.6816
965.7000,54136.0508,611.7000,39114.3398,534.7000,10343.8359,289.7000,10743.7100
965.6000,54013.1172,611.6000,39491.0195,534.6000,10239.9238,289.6000,10939.4717
965.5000,54235.7852,611.5000,39150.5234,534.5000,10251.0576,289.5000,11022.9717
965.4000,54119.8125,611.4000,39444.6289,534.4000,10412.4912,289.4000,10913.4941
965.3000,54027.0352,611.3000,39301.7500,534.3000,10265.9023,289.3000,11007.1992
965.2000,53706.9492,611.2000,39443.7031,534.2000,10475.5811,289.2000,10906.0713
965.1000,53590.9766,611.1000,39225.6719,534.1000,10430.1191,289.1000,11076.7832
965.0000,53623.4492,611.0000,39476.1758,534.0000,10467.2305,289.0000,11031.3223
964.9000,53226.8242,610.9000,39351.8516,533.9000,10439.3975,288.9000,11254.9170
964.8000,52994.8789,610.8000,39298.0391,533.8000,10597.1201,288.8000,11224.3008
964.7000,52927.6133,610.7000,39841.7188,533.7000,10747.4209,288.7000,11138.0166
964.6000,53059.8242,610.6000,39467.8242,533.6000,10595.2646,288.6000,11392.2285
964.5000,52190.0273,610.5000,39443.7031,533.5000,10678.7646,288.5000,11101.8330
964.4000,52825.5586,610.4000,39671.9375,533.4000,10909.7822,288.4000,11506.3457
964.3000,53141.0039,610.3000,39250.7227,533.3000,10935.7607,288.3000,11336.5625
964.2000,52526.3477,610.2000,39410.3008,533.2000,11105.5439,288.2000,11593.5576
964.1000,51860.6641,610.1000,39690.4922,533.1000,11320.7900,288.1000,11442.3291
964.0000,52002.1523,610.0000,39915.0156,533.0000,11300.3789,288.0000,11579.6406
963.9000,50983.9141,609.9000,39676.5742,532.9000,11441.4014,287.9000,11415.4238
963.8000,51204.2617,609.8000,39765.6406,532.8000,11716.0244,287.8000,11667.7803
963.7000,51246.0117,609.7000,39615.3398,532.7000,12039.8203,287.7000,11443.2568
963.6000,51014.0664,609.6000,39571.7344,532.6000,12174.3486,287.6000,11433.0518
963.5000,50784.4375,609.5000,39656.1641,532.5000,12720.8115,287.5000,11336.5625
963.4000,51436.2070,609.4000,39901.0977,532.4000,12834.9287,287.4000,11469.2344
963.3000,50387.8125,609.3000,39701.6250,532.3000,13409.2256,287.3000,11512.8408
963.2000,51000.1484,609.2000,39734.0977,532.2000,13644.8828,287.2000,11572.2188
963.1000,50543.2148,609.1000,40100.5703,532.1000,14269.2793,287.1000,11281.8232
963.0000,50529.3008,609.0000,39958.6211,532.0000,14469.6797,287.0000,11524.9014
962.9000,50529.3008,608.9000,39597.7148,531.9000,14914.0879,286.9000,11441.4014
962.8000,50083.9648,608.8000,39904.8086,531.8000,15490.2393,286.8000,11717.8799
962.7000,50796.0352,608.7000,39791.6211,531.7000,15835.3740,286.7000,11737.3633
962.6000,50260.2422,608.6000,40139.5391,531.6000,16390.1875,286.6000,11820.8643
962.5000,50058.4492,608.5000,39889.9648,531.5000,16720.4785,286.5000,11863.5420
962.4000,49896.0898,608.4000,39849.1445,531.4000,17384.7695,286.4000,12157.6484
962.3000,50237.0469,608.3000,39956.7656,531.3000,18284.7168,286.3000,12161.3594
962.2000,49891.4492,608.2000,40103.3555,531.2000,19339.6055,286.2000,12210.5322
962.1000,50543.2148,608.1000,40454.0547,531.1000,20612.5215,286.1000,12598.3447
962.0000,49768.5195,608.0000,40062.5313,531.0000,22078.4160,286.0000,12565.8721
961.9000,49856.6563,607.9000,40124.6953,530.9000,24330.1426,285.9000,12988.9404
961.8000,50373.8945,607.8000,40081.0898,530.8000,25553.8848,285.8000,13125.3252
961.7000,50714.8555,607.7000,40292.6211,530.7000,27033.6973,285.7000,13540.0430
961.6000,49942.4766,607.6000,40111.7031,530.6000,28269.5020,285.6000,14019.7061
961.5000,50673.1055,607.5000,40248.0898,530.5000,28302.9023,285.5000,14413.0850
961.4000,50269.5195,607.4000,40235.1016,530.4000,27387.1816,285.4000,14861.2041
961.3000,50411.0078,607.3000,40118.1992,530.3000,25673.5703,285.3000,15202.6279
961.2000,50237.0469,607.2000,40505.0859,530.2000,23238.1426,285.2000,16045.0527
961.1000,50860.9805,607.1000,40328.8047,530.1000,20906.6289,285.1000,16570.1777
961.0000,50042.2148,607.0000,40176.6484,530.0000,18921.1758,285.0000,16936.6504
960.9000,50854.0234,606.9000,40413.2344,529.9000,16572.0332,284.9000,17420.9531
960.8000,50336.7852,606.8000,40658.1680,529.8000,14859.3486,284.8000,17403.3242
960.7000,50726.4531,606.7000,40783.4180,529.7000,13602.2041,284.7000,17435.7969
960.6000,49854.3398,606.6000,40372.4102,529.6000,12466.5996,284.6000,17355.0801
960.5000,50392.4531,606.5000,40557.9688,529.5000,11587.9912,284.5000,16983.9688
960.4000,50793.7188,606.4000,40349.2188,529.4000,10856.8994,284.4000,16357.7158
960.3000,50364.6172,606.3000,40694.3516,529.3000,10413.4189,284.3000,15716.6182
960.2000,50656.8711,606.2000,40603.4297,529.2000,10003.3398,284.2000,15022.6377
960.1000,50540.8984,606.1000,40652.6016,529.1000,9817.7842,284.1000,14050.3232
960.0000,50199.9375,606.0000,40951.3477,529.0000,9330.6982,284.0000,13580.8652
959.9000,51104.5234,605.9000,40794.5508,528.9000,9314.9258,283.9000,12775.5508
959.8000,50111.7969,605.8000,40616.4180,528.8000,9052.3643,283.8000,12255.9932
959.7000,50812.2734,605.7000,40968.9766,528.7000,9023.6025,283.7000,11875.6035
959.6000,50898.0938,605.6000,40784.3477,528.6000,8890.9297,283.6000,11525.8291
959.5000,51171.7891,605.5000,41085.8750,528.5000,8774.0293,283.5000,11329.1396
959.4000,51188.0234,605.4000,41124.8438,528.4000,8890.9297,283.4000,11192.7559
959.3000,51199.6211,605.3000,41273.2891,528.3000,8594.0400,283.3000,11041.5273
959.2000,50554.8125,605.2000,40963.4102,528.2000,8633.0068,283.2000,10848.5488
959.1000,50719.4961,605.1000,41210.1992,528.1000,8640.4287,283.1000,10814.2207
